N,T,suffix,model,method,pick_periods,n,objective,root_time,solving_time,MIP_gap,relaxation_gap,nodes,proportion_of_set_up_costs,proportion_of_holding_costs,set_up_costs_proportion_at_warehouse,set_up_costs_proportion_at_retailers,nb_set_ups_at_warehouse,nb_set_ups_at_retailers,holding_costs_warehouse,holding_costs_retailers,nb_variables,nb_binary_variables,nb_constraints,
50,15,DD_DF08,spc,consecutive_sum,min_gap,2,51203.24,0.11771702766418457,0.32566094398498535,0.0,1.420995549145606e-16,0,0.5698467518852323,0.43015324811476763,0.5136061416135445,0.48639385838645555,6.0,349.0,0.22449244593929515,0.7755075540607047,34796,15,7576,
50,15,DD_DF01,tpc,total_sum,min_gap,2,49006.03,0.08836984634399414,0.2085590362548828,0.0,1.4847065992049195e-16,0,0.6390642131182632,0.3609357868817368,0.4812248547161377,0.5187751452838623,7.0,375.0,0.2115837659705462,0.7884162340294537,35445,15,12764,
50,15,DD_DF01,spc,consecutive_sum,min_gap,3,51767.83,0.1500539779663086,0.31003594398498535,0.0,0.04912767606437617,0,0.5046956768325038,0.49530432316749584,0.4759826998890037,0.5240173001109963,5.0,336.0,0.28074364207398916,0.7192563579260117,34796,15,7576,
50,15,DD_DF09,spc,consecutive_sum,min_gap,2,49252.20999999999,0.11336088180541992,0.3304290771484375,0.0,2.9545710189181063e-16,0,0.6462857199707385,0.3537142800292619,0.5006754421790078,0.4993245578209921,7.0,372.0,0.17114195856659775,0.8288580414334018,34796,15,7576,
50,15,DD_DF02,tpc,total_sum,min_gap,2,52124.78999999999,0.11998414993286133,0.21621108055114746,0.0,2.7917455836976715e-16,0,0.6507268422568226,0.3492731577431774,0.5043780771838793,0.4956219228161208,7.0,378.0,0.20144690233162094,0.7985530976683791,35445,15,12764,
50,15,DD_DF02,spc,consecutive_sum,min_gap,3,56222.82999999999,0.15346598625183105,0.42252206802368164,0.0,0.07010495492601417,0,0.5405455399523647,0.45945446004763585,0.5046559836793788,0.49534401632062125,5.0,345.0,0.2784936258871321,0.7215063741128674,34796,15,7576,
50,15,DD_DF03,tpc,total_sum,min_gap,2,49718.85,0.070404052734375,0.1621389389038086,0.0,0.0,0,0.5636494005794583,0.4363505994205415,0.4456537253782472,0.5543462746217528,6.0,362.0,0.23793665316883975,0.7620633468311611,35445,15,12764,
50,15,DD_DF10,spc,consecutive_sum,min_gap,2,51860.21,0.12809205055236816,0.33661603927612305,0.0,1.4029942443702842e-16,0,0.5987249183911905,0.4012750816088094,0.4744605475040258,0.5255394524959742,6.0,362.0,0.2182582491959476,0.7817417508040526,34796,15,7576,
50,15,DD_DF04,tpc,total_sum,min_gap,2,51823.86,0.12975001335144043,0.21918392181396484,0.0,2.8079566493825146e-16,0,0.6591751367034412,0.340824863296559,0.5089429466350517,0.4910570533649483,7.0,381.0,0.19945807190907916,0.8005419280909208,35445,15,12764,
50,15,DD_DF03,spc,consecutive_sum,min_gap,3,53835.14,0.15644192695617676,0.43593883514404297,0.0,0.07242164380613346,0,0.49159340906329957,0.5084065909367005,0.4595881352730021,0.5404118647269979,5.0,344.0,0.31108719210058844,0.6889128078994112,34796,15,7576,
50,15,DD_DF01,tpc,total_sum,min_gap,3,51767.83,0.12099599838256836,0.20229005813598633,0.0,0.0,0,0.5053717723922366,0.4946282276077631,0.47534592156562955,0.5246540784343705,5.0,337.0,0.28356823426539984,0.7164317657346003,35445,15,12763,
50,15,DD_DF05,tpc,total_sum,min_gap,2,52208.17,0.12258791923522949,0.20296597480773926,0.0,0.0,0,0.6547251129468817,0.3452748870531183,0.49882979345854545,0.5011702065414546,7.0,387.0,0.21582510316944756,0.7841748968305529,35445,15,12764,
50,15,DD_DF02,tpc,total_sum,min_gap,3,56222.82999999999,0.15392494201660156,0.2540462017059326,0.0,2.588257337520515e-16,0,0.5405455399523647,0.45945446004763557,0.5046559836793788,0.49534401632062125,5.0,345.0,0.2784936258871323,0.7215063741128679,35445,15,12763,
50,15,DD_DF04,spc,consecutive_sum,min_gap,3,53630.049999999996,0.13607096672058105,0.42420196533203125,0.0,0.032807317365180756,0,0.5122687746888173,0.48773122531118285,0.5000545990608961,0.49994540093910383,5.0,333.0,0.24639628704307254,0.7536037129569275,34796,15,7576,
50,15,DD_DF06,tpc,total_sum,min_gap,2,52284.01999999999,0.07648396492004395,0.18317103385925293,0.0,2.783243375005758e-16,0,0.5993035730611381,0.4006964269388617,0.5016914533733324,0.4983085466266675,6.0,362.0,0.2530546510218131,0.7469453489781879,35445,15,12764,
