prefix,suffix,model,method,pick_periods,n,objective,root_time,solving_time,MIP_gap,relaxation_gap,nodes,proportion_of_set_up_costs,proportion_of_holding_costs,set_up_costs_proportion_at_warehouse,set_up_costs_proportion_at_retailers,nb_set_ups_at_warehouse,nb_set_ups_at_retailers,holding_costs_warehouse,holding_costs_retailers,nb_variables,nb_binary_variables,nb_constraints,
N100T15,DD_DF,owmr,infinite_f,fixed_intervals,4.0,106374.98799999998,0.01000409126281733,0.7310984611511231,5.5738273733357054e-05,0.4546364397295114,28.4,0.3618429962512548,0.6381570037487453,0.3141807604583552,0.6858192395416449,4.0,654.7,0.37809674682413563,0.6219032531758636,4646.0,1515.0,3131.0,
N100T15,DD_DF,owmr,infinite_f_new,fixed_intervals,4.0,106374.98799999998,0.00974800586700435,0.7395448207855224,5.5738273733357054e-05,0.4546364397295114,28.4,0.3618429962512548,0.6381570037487453,0.3141807604583552,0.6858192395416449,4.0,654.7,0.37809674682413563,0.6219032531758636,4646.0,1515.0,3131.0,
N50T15,DD_SF,es,fix_y,fixed_intervals,4.0,59865.54199999994,0.00721330642700189,0.22493188381195064,2.288387239574478e-05,0.30467317414965056,2.4,0.4274200224954514,0.5725799775045488,0.4733601380223195,0.5266398619776804,4.0,329.3,0.3753370516834329,0.6246629483165665,2346.0,765.0,1607.0,
N50T15,DD_SF,es,infinite_f,fixed_intervals,4.0,59865.08599999999,0.007372212409973091,0.30539507865905763,2.1449262425914194e-05,0.30466826740846675,18.7,0.42748433004840286,0.5725156699515972,0.4732841243920262,0.5267158756079737,4.0,329.30000000000024,0.37510639483217606,0.6248936051678236,2346.0,765.0,1596.0,
N50T15,DD_SF,es,infinite_f_new,fixed_intervals,4.0,59865.08600000001,0.007380652427673271,0.30559701919555665,2.1449262425914194e-05,0.30466826740846675,18.7,0.42748433004840286,0.5725156699515972,0.4732841243920262,0.5267158756079737,4.0,329.30000000000024,0.37510639483217606,0.6248936051678236,2346.0,765.0,1596.0,
N50T15,DD_SF,owmr,fix_y,fixed_intervals,4.0,59865.55699999999,0.00504992008209224,0.3483948469161987,3.6897486935382846e-05,0.48097555466566144,37.2,0.42742341838602227,0.5725765816139778,0.47333712242106357,0.5266628775789364,4.0,329.40000000000043,0.37552226410890643,0.6244777358910933,2346.0,765.0,1592.0,
N50T15,DD_SF,ses,fix_y,fixed_intervals,4.0,59865.037,0.040759611129760696,0.2790148973464966,0.0,0.0011064871585619702,0.7,0.42762680795417307,0.5723731920458268,0.4731167578909294,0.5268832421090706,4.0,329.5,-1.3794188134422238,0.624486893555769,6885.0,765.0,6911.0,
N50T15,DD_SF,ses,infinite_f,fixed_intervals,4.0,59865.34199999999,0.08860960006713862,0.34822046756744385,0.0,0.1517202765402445,1.0,0.4275121341144733,0.5724878658855267,0.47322242868278225,0.5267775713172178,4.0,329.4,-1.3792432107738926,0.6246146952090454,6885.0,765.0,6900.0,
N50T15,DD_SF,ses,infinite_f_new,fixed_intervals,4.0,59865.34200000002,0.0881527185440063,0.34303698539733884,0.0,0.1517202765402445,1.0,0.4275121341144733,0.5724878658855267,0.47322242868278225,0.5267775713172178,4.0,329.4,-1.3792432107738926,0.6246146952090454,6885.0,765.0,6900.0,
N50T15,DD_SF,owmr,infinite_f,fixed_intervals,4.0,59865.21299999999,0.0051504373550414605,0.3495557069778442,4.494002613025846e-05,0.48097246473153926,43.1,0.4273984226677797,0.5726015773322206,0.4733878085636736,0.5266121914363263,4.0,329.29999999999984,0.3753458384841701,0.6246541615158299,2346.0,765.0,1581.0,
N50T15,DD_SF,owmr,infinite_f_new,fixed_intervals,4.0,59865.21300000001,0.00517911911010736,0.3509789705276489,4.494002613025846e-05,0.48097246473153926,43.1,0.4273984226677797,0.5726015773322206,0.4733878085636736,0.5266121914363263,4.0,329.29999999999984,0.3753458384841701,0.6246541615158299,2346.0,765.0,1581.0,
N75T15,DD_SF,es,fix_y,fixed_intervals,4.0,83315.19399999994,0.01219649314880367,0.3964520454406738,2.690906481658637e-05,0.2962774955147375,2.3,0.3888409387390014,0.6111590612609984,0.3932565702299618,0.6067434297700381,4.0,484.5,0.3693272167401789,0.6306727832598216,3496.0,1140.0,2382.0,
N75T15,DD_SF,es,infinite_f,fixed_intervals,4.0,83315.01,0.01272397041320795,0.40729072093963625,3.490548625672006e-05,0.29627592428111865,14.2,0.3888426978150423,0.6111573021849572,0.39325191950346544,0.6067480804965345,4.0,484.5,0.3690916885597938,0.6309083114402065,3496.0,1140.0,2371.0,
N75T15,DD_SF,es,infinite_f_new,fixed_intervals,4.0,83315.00999999998,0.012377095222473109,0.4069428205490112,3.490548625672006e-05,0.29627592428111865,14.2,0.3888426978150423,0.6111573021849572,0.39325191950346544,0.6067480804965345,4.0,484.5,0.3690916885597938,0.6309083114402065,3496.0,1140.0,2371.0,
N75T15,DD_SF,owmr,fix_y,fixed_intervals,4.0,83315.197,0.00734353065490718,0.600754976272583,4.6827776732092406e-05,0.4655833020281282,31.5,0.3888317210285474,0.6111682789714526,0.3932670207729851,0.6067329792270149,4.000000000000001,484.3000000000012,0.3687910839709335,0.6312089160290665,3496.0,1140.0,2367.0,
N75T15,DD_SF,ses,fix_y,fixed_intervals,4.0,83315.006,0.04756984710693355,0.49304487705230715,8.458038641201361e-06,0.00084190724054801,0.7,0.388881889391932,0.6111181106080676,0.3932168880947492,0.6067831119052507,4.0,484.5,-1.267554574792079,0.6307902289331695,10260.0,1140.0,10286.0,
N75T15,DD_SF,ses,infinite_f,fixed_intervals,4.0,83316.673,0.13078298568725583,0.6128092050552368,8.084637565741205e-06,0.06715671695816247,0.5,0.38862092366567164,0.6113790763343283,0.39348308006319693,0.606516919936803,4.0,484.6,-1.2661581504810742,0.6300968142957775,10260.0,1140.0,10275.0,
