N,T,suffix,model,method,pick_periods,n,objective,root_time,solving_time,MIP_gap,relaxation_gap,nodes,proportion_of_set_up_costs,proportion_of_holding_costs,set_up_costs_proportion_at_warehouse,set_up_costs_proportion_at_retailers,nb_set_ups_at_warehouse,nb_set_ups_at_retailers,holding_costs_warehouse,holding_costs_retailers,nb_variables,nb_binary_variables,nb_constraints,Unnamed: 24
75,15,DD_DF,sp,fix_y,fixed_intervals,3.0,74417.99299999999,0.0929499864578246,0.247631812095642,0.0,1.167712286986356e-16,0.0,0.4776442478802054,0.5223557521197948,0.4110248312925124,0.5889751687074875,5.0,509.4,0.2704061677207123,0.7295938322792874,61940.0,15.0,20500.0,
75,15,DD_DF,sp,fix_y,fixed_intervals,4.0,82551.771,0.0876878023147582,0.2220005989074706,0.0,8.72425255750799e-17,0.0,0.3801986319394058,0.6198013680605942,0.3828116920305024,0.6171883079694975,4.0,487.6,0.3683899641365962,0.6316100358634037,61940.0,15.0,20501.0,
75,15,DD_DF,sp,fix_y,fixed_intervals,5.0,95809.27,0.0831702709197997,0.2047478437423705,0.0,1.8002643586233126e-16,0.0,0.2791560319505313,0.7208439680494687,0.338824588978071,0.661175411021929,3.0,467.3,0.4784878618189839,0.5215121381810164,61940.0,15.0,20502.0,
75,15,DD_DF,spc,fix_y,fixed_intervals,3.0,74417.99299999999,0.0617007732391357,0.2129774570465087,0.0,1.5437924346284982e-16,0.0,0.4776442478802054,0.5223557521197948,0.4110248312925124,0.5889751687074875,5.0,509.4,0.2704061677207122,0.7295938322792876,52140.0,15.0,11260.0,
75,15,DD_DF,spc,fix_y,fixed_intervals,4.0,82551.771,0.0533363103866576,0.1800787925720214,0.0,8.670970434898015e-17,0.0,0.3801986319394058,0.6198013680605943,0.3828116920305024,0.6171883079694975,4.0,487.6,0.3683899641365961,0.6316100358634038,52140.0,15.0,11261.0,
75,15,DD_DF,spc,fix_y,fixed_intervals,5.0,95809.27,0.0502111434936523,0.1619008779525756,0.0,9.012869360320752e-17,0.0,0.2791419535255943,0.720858046474406,0.3388417963487722,0.6611582036512278,3.0,467.3,0.4784845142202741,0.5215154857797255,52140.0,15.0,11262.0,
75,15,DD_DF,mc,fix_y,fixed_intervals,3.0,74417.99299999997,0.0725369930267333,0.1466575622558593,0.0,5.388313914540473e-16,0.0,0.4776442478802055,0.5223557521197949,0.4110248312925124,0.5889751687074875,5.0,509.4,0.2704061677207123,0.7295938322792874,40680.0,15.0,37226.0,
75,15,DD_DF,mc,fix_y,fixed_intervals,5.0,95809.26999999992,0.0693398237228393,0.12428719997406,0.0,6.665204496475621e-16,0.0,0.279178119771286,0.7208218802287146,0.3387969246585539,0.6612030753414461,3.0,467.4,0.4785567746774382,0.5214432253225618,40680.0,15.0,37228.0,
75,15,DD_DF,mc,fix_y,fixed_intervals,4.0,82551.77099999998,0.0678893566131591,0.1323451519012451,0.0,4.536727385919704e-16,0.0,0.3802458516320955,0.6197541483679051,0.3827601214269486,0.6172398785730513,4.0,487.7,0.3686074493770823,0.6313925506229175,40680.0,15.0,37227.0,
75,15,DD_DF,owmr,fix_y,fixed_intervals,3.0,74418.80500000001,0.0071698904037474,0.5707889318466186,3.878483648913753e-05,0.5613640779064821,25.9,0.477802970514472,0.5221970294855284,0.4108832235255834,0.5891167764744165,5.0,509.1000000000005,0.2697131630522783,0.7302868369477209,3496.0,1140.0,2366.0,
75,15,DD_DF,owmr,fix_y,fixed_intervals,4.0,82553.32999999999,0.007724094390869,0.5928993940353393,7.222989375597235e-05,0.4595274798744989,29.1,0.3800677484189254,0.6199322515810751,0.3829225830503883,0.6170774169496117,4.0,487.69999999999993,0.3692584468565097,0.6307415531434899,3496.0,1140.0,2367.0,
75,15,DD_DF,owmr,fix_y,fixed_intervals,5.0,95809.643,0.0074424266815184,0.3584232568740845,4.117578126334956e-05,0.348802884008544,6.5,0.279077467006407,0.7209225329935929,0.3389125681877817,0.6610874318122182,3.0,467.30000000000047,0.4784513654860644,0.521548634513936,3496.0,1140.0,2368.0,
