N,T,suffix,model,method,pick_periods,n,objective,root_time,solving_time,MIP_gap,relaxation_gap,nodes,proportion_of_set_up_costs,proportion_of_holding_costs,set_up_costs_proportion_at_warehouse,set_up_costs_proportion_at_retailers,nb_set_ups_at_warehouse,nb_set_ups_at_retailers,holding_costs_proportion_warehouse,holding_costs_proportion_retailers,nb_variables,nb_binary_variables,nb_constraints,
100,15,DD_SF,mc,not_sequential,all,0.0,87599.60599999993,0.7198850154876709,1.1291166305541993,0.0,0.00022333993289809693,0.8,0.6397763991969795,0.360223600803021,0.3916712000264321,0.6083287999735679,7.7,777.5,0.16608956515295914,0.8339104348470411,54230.0,15.0,49616.0,
100,15,DD_DF,ses,not_sequential,all,0.0,85828.66699999999,0.17697420120239254,6.628797769546509,2.2160150993287326e-05,0.0834631483029276,321.3,0.6403186205706912,0.35968137942930867,0.3767752006385008,0.6232247993614991,8.0,787.4,0.1627742569405873,0.8372257430594136,13635.0,1515.0,13650.0,
100,15,DD_SF,sp,not_sequential,all,0.0,87599.606,0.36630520820617674,1.019917607307434,0.0,0.00022333993289753488,0.7,0.6397939372905953,0.3602060627094046,0.39166108257102855,0.6083389174289715,7.7,777.6,0.16619594032621243,0.8338040596737877,82315.0,15.0,27240.0,
100,15,DD_SF,spc,not_sequential,all,0.0,87599.606,0.2803194999694824,0.835370397567749,0.0,0.00022333993289749688,0.6,0.6398317217782684,0.3601682782217316,0.39164011575327323,0.6083598842467268,7.7,777.7,0.16634613079180108,0.833653869208199,69515.0,15.0,15000.0,
100,15,DD_SF,tp,not_sequential,all,0.0,87599.606,0.4946392297744751,0.9125649690628052,0.0,0.0002233399328975213,0.8,0.6398895083028362,0.360110491697164,0.3916042092356279,0.6083957907643721,7.7,777.8,0.16637317596447265,0.833626824035527,82315.0,15.0,37500.0,
100,15,DD_SF,tpc,not_sequential,all,0.0,87599.606,0.448209285736084,0.8325857639312744,0.0,0.00022333993289752708,0.8,0.6398317217782685,0.3601682782217316,0.39164011575327323,0.6083598842467268,7.7,777.7,0.16634613079180102,0.8336538692081991,70195.0,15.0,25500.0,
100,15,DD_DF,es,not_sequential,all,0.0,85828.77999999996,0.02398447990417476,45.01460771560669,7.173201332652428e-05,0.7075221657119691,1648.1,0.6402491694185037,0.35975083058149604,0.376819441830658,0.6231805581693418,8.0,787.3000000000004,0.16276229750586507,0.8372377024941349,4646.0,1515.0,3146.0,
100,15,DD_DF,owmr,not_sequential,all,0.0,85829.21500000005,0.009087038040161071,47.97478380203247,9.03372819342775e-05,0.965724292998703,2083.3,0.6403111847881057,0.3596888152118942,0.3767794485614652,0.6232205514385348,8.0,787.3999999999999,0.16287861475283555,0.8371213852471648,4646.0,1515.0,3131.0,
100,15,SD_SF,mc,not_sequential,all,0.0,90314.88799999989,0.783546781539917,1.389394497871399,0.0,0.0003722733733577788,1.1,0.6391797911703908,0.3608202088296101,0.426574406256619,0.573425593743381,7.6,765.7,0.13010603023980635,0.8698939697601938,54230.0,15.0,49616.0,
100,15,DD_SF,ses,not_sequential,all,0.0,87599.606,0.17779338359832758,9.892177486419678,1.4805401717076746e-05,0.09640206427305856,772.0,0.6398895083028362,0.360110491697164,0.3916042092356279,0.6083957907643721,7.7,777.8,0.16637317596447265,0.8336268240355272,13635.0,1515.0,13650.0,
100,15,SD_SF,sp,not_sequential,all,0.0,90314.888,0.4947887659072876,1.3878968000411986,0.0,0.0003722733733565387,1.1,0.6391348583359909,0.36086514166400907,0.4266061908299412,0.5733938091700587,7.6,765.7,0.13020847972805288,0.8697915202719472,82315.0,15.0,27240.0,
100,15,SD_SF,spc,not_sequential,all,0.0,90314.88799999999,0.3648975133895874,1.162862777709961,0.0,0.0003722733733564629,1.1,0.6391518863194384,0.3608481136805617,0.42659558761511696,0.573404412384883,7.6,765.8,0.13026432037368155,0.8697356796263185,69515.0,15.0,15000.0,
100,15,SD_SF,tp,not_sequential,all,0.0,90314.888,0.5530118227005005,1.1895872831344605,0.0,0.0003722733733566528,1.1,0.6391316434820999,0.3608683565179,0.426609701473142,0.573390298526858,7.6,765.7,0.12998997450392888,0.8700100254960708,82315.0,15.0,37500.0,
100,15,SD_SF,tpc,not_sequential,all,0.0,90314.88799999999,0.526494026184082,1.1382482767105102,0.0,0.0003722733733566222,1.1,0.6391316434820999,0.3608683565179,0.426609701473142,0.573390298526858,7.6,765.7,0.1299899745039289,0.870010025496071,70195.0,15.0,25500.0,
